date,agua_ha
2014-01-10,6.566555460324755
2014-01-26,12.640615371237361
2014-03-15,13.021633374645756
2014-06-19,12.493852478793276
2014-07-21,12.62262255900065
2014-09-23,8.898882022561464
2014-10-25,11.328573882793352
2014-11-10,12.227492911233341
2014-12-12,13.708876602855014
2015-01-29,12.227493149270451
2015-04-03,13.13064635466931
2015-04-19,13.076668558541092
2015-05-05,12.744689166810277
2015-05-21,12.583815119174135
2015-07-08,12.047567923440372
2015-07-24,12.223965088656556
2015-08-09,12.646259550900925
2015-09-26,11.598462316631242
2015-10-12,12.806428597483915
2015-12-15,12.583462385301777
2016-02-01,12.474096537583295
2016-02-17,12.551711145737592
2016-05-07,12.859347219645182
2016-05-23,12.834651630189184
2016-06-08,11.692656722555721
2016-06-24,11.777680923928653
2016-07-26,12.505141886967676
2016-08-11,10.972954738913144
2016-09-12,1.0795505249023438
2016-12-17,12.227492911233341
2017-01-02,11.868348699687882
2017-01-18,13.04033106586531
2017-06-11,11.60269411269244
2017-07-13,8.814564714379403
2017-07-29,12.442697455240886
2017-09-15,12.289937550479664
2017-11-02,12.047567862405216
2017-11-18,12.047568222512638
2017-12-04,10.524906986203662
2017-12-20,12.317455521096623
2018-02-22,13.09818945683498
2018-03-10,13.16063417664771
2018-03-26,13.09818945683498
2018-04-11,14.878035964020373
2018-04-27,12.106483830686082
2018-07-16,12.227493118752873
2018-08-01,12.227492911233341
2018-11-05,12.31745563706342
2018-12-23,11.957605582131778
2019-03-13,13.009285170300053
2019-03-29,12.842766245093252
2019-04-30,12.775029545659084
2019-06-17,12.775029545659084
2019-07-19,11.687718161477482
2019-09-05,12.583815119174135
2019-12-10,12.730578072653378
2020-01-11,11.77838662083046
2020-02-12,13.220256261177813
2020-03-31,13.158869834175857
2020-05-02,12.685066990727444
2020-05-18,12.834651630189184
2020-07-21,12.469862593204274
2020-08-06,11.418537005351945
2020-08-22,11.32857460911171
2020-09-23,12.04756798447553
2020-10-09,0.0
2020-11-10,12.22749299668256
2020-12-28,12.13753064927045
2021-02-14,11.801670328440947
2021-04-03,12.834651630189184
2021-05-21,12.592282155737783
2021-06-06,12.744689075257543
2021-06-22,12.847705271953508
2021-07-08,12.775029545659084
2021-08-09,12.834651630189184
2021-12-31,12.984237127398321
2022-02-17,12.13717789098403
2022-03-05,12.573584299819048
2022-03-21,12.978944791451246
2022-04-06,13.314804941645605
2022-05-08,12.834651630189184
2022-05-24,12.775029545659084
2022-07-11,11.998177018516392
2022-07-27,12.93731517846201
2023-01-19,12.915442005878523
2023-03-08,13.220256261177813
2023-03-24,13.233309902942134
2023-05-11,12.775029545659084
2023-06-12,12.532660010172526
2023-08-31,12.658254580939797
2023-09-16,12.52595653167126
2023-11-19,12.22749299668256
2024-02-07,12.573936948242187
2024-02-23,13.00822728154201
2024-03-26,13.012813280340456
2024-04-27,12.941195822442747
2024-05-13,12.834651630189184
2024-05-29,12.22749299668256
2024-07-16,11.54377953764074
2024-08-17,12.317455521096623
2024-09-18,12.356263113511028
2024-11-05,12.227493118752873
2024-12-07,10.6131069483858
2025-02-09,12.493852570346009
